model,fold,MAE,RMSE,MAPE,weighted_MAE
MovingAverage(w=4),1,3791.515572589547,11117.388026544695,23.392334347169342,4157.438601258767
MovingAverage(w=4),2,3004.6845031723797,6706.36246469985,19.107465499651568,3030.596289551067
MovingAverage(w=4),3,3768.831592920018,10467.917982410028,23.09348487984985,4414.16902864107
"ARIMA(auto,nonseasonal,top10)",1,3819.408349082126,11101.600420703513,23.57041177654345,4181.99592330367
"ARIMA(auto,nonseasonal,top10)",2,3004.7212821603357,6671.5655179003525,19.113096750506532,3022.9814818781024
"ARIMA(auto,nonseasonal,top10)",3,3769.0552832938233,10446.745823075524,23.102405086690503,4408.130012833788
Prophet(top10),1,3780.6927016814584,11106.381335370666,23.331284490261016,4146.597319222665
Prophet(top10),2,3042.3858690410448,6786.657006080896,19.352707890408226,3082.6637948820235
Prophet(top10),3,3736.973970334518,10410.138509135502,22.90588888724936,4385.8713923125615
"XGBoost(n=500,d=6)",1,15302.610905521233,23846.819752726315,94.18769209185727,15507.777062172043
"XGBoost(n=500,d=6)",2,2051.748629294463,4497.9281235824,12.84399442230835,2069.6798816066052
"XGBoost(n=500,d=6)",3,2376.519213881751,7029.397914127397,14.375459524366994,2945.360178376517
"LightGBM(n=500,leaves=63)",1,15302.610905521233,23846.819752726315,94.18769209185727,15507.777062172043
"LightGBM(n=500,leaves=63)",2,2025.0239449561673,4467.046882329382,12.670482685262865,2035.7697618279562
"LightGBM(n=500,leaves=63)",3,2389.7916355974944,7062.06693973701,14.45687032072685,2954.380536560821
